address,in_wallet,staked,unstaking,in_terraswap_mars_ust_pair,in_astroport_mars_ust_pair,in_astroport_xmars_mars_pair,in_generator,in_apollo,in_spec,in_auction,in_council,total
terra1smusxgwactgq9w4566lgr0p4fvxdwuxew257u9,1449840098,27020354624,0,0,0,0,0,0,0,18875577050,0,47345771771
terra1rdppacqxrurlu9eu5hltry8kjq4hl0pllgwwky,23531832826,23535912948,0,0,0,0,0,0,0,0,0,47067745774
terra13lgdlak3v03a583wka04qdm44lmu3f8kmwuu58,0,46976267275,0,0,0,0,0,0,0,0,0,46976267275
terra19gg25vc85v7n7zml072fm4pkuh6um02nyufmgz,46458651268,0,0,0,0,0,0,0,0,0,0,46458651268
terra1u9u8t2gaj8h7r3u2nsclkgh8ue6fgyeeqygsqh,4205457455,0,41987639096,0,0,0,0,0,0,0,0,46193096551
terra1np65kn0xpypg4f9rhllyqyla4syg0mme2c6nrt,0,34485717222,10889197522,0,0,0,0,0,0,0,0,45374914744
terra1nn3znhjsyvxl7w8vyr9pe7g3gkws8u4zdcreaj,45310742173,0,0,0,0,0,0,0,0,0,0,45310742173
terra1t2uz8spueu494s68843f6hdzwd97h3wkcwxn56,0,45156565179,0,0,0,0,0,0,0,0,0,45156565179
terra1qu5jfkraj5pldcvmjh936utfer0me7v5q96pcl,0,45013667063,0,0,0,0,0,0,0,0,0,45013667063
terra1wtwkn4pzaxh9k4t8wl53xprlrezmgjcdn7eyc3,0,0,0,0,0,0,17464354047,0,0,27380769691,0,44845123738
terra1zrutc3hvrugn7f5h58dnxvh9heaf2vwvqsejvh,33203615517,11203320084,0,0,0,0,0,0,0,0,0,44406935601
terra16w9t2lnrqajgqx0r3l9n94ghy7drc5mz7dsmzz,31516998740,11846949354,0,0,0,0,0,0,0,0,0,43363948094
terra1z4dtp3qn90gefrr0f24nx6y9t5fvthxqnd26r4,29405833986,0,0,0,0,0,0,0,0,13895960992,0,43301794978
terra1wvhsm94c7lzpvd9yelhldxep96lu9wqankqw72,43290300109,0,0,0,0,0,0,0,0,0,0,43290300109
terra1jmkm8tgpfnewup7vmus9xlxgy5k3nx0l5fn254,10113861104,0,0,0,0,0,32862330410,0,0,0,0,42976191514
